row_index,scenario,action_type,baseline_probability,scenario_probability,probability_change,absolute_probability_reduction,operating_threshold,crosses_below_threshold
46539,Reduce interest rate to 8%,pricing_scenario,0.879315197467804,0.5181491374969482,-0.3611660599708557,0.3611660599708557,0.565,True
46539,Reduce interest rate to 12%,pricing_scenario,0.879315197467804,0.7401816248893738,-0.13913357257843018,0.13913357257843018,0.565,False
46539,Reduce interest rate to 16%,pricing_scenario,0.879315197467804,0.8092201352119446,-0.07009506225585938,0.07009506225585938,0.565,False
46539,Increase verified annual income by 30%,affordability_scenario,0.879315197467804,0.8654499053955078,-0.013865292072296143,0.013865292072296143,0.565,False
46539,Increase verified annual income by 20%,affordability_scenario,0.879315197467804,0.8662305474281311,-0.013084650039672852,0.013084650039672852,0.565,False
46539,Increase verified annual income by 10%,affordability_scenario,0.879315197467804,0.8716409206390381,-0.007674276828765869,0.007674276828765869,0.565,False
46539,No prior delinquency history,diagnostic_non_actionable,0.879315197467804,0.8805230855941772,0.001207888126373291,-0.001207888126373291,0.565,False
46549,Reduce interest rate to 8%,pricing_scenario,0.8815670013427734,0.6867785453796387,-0.19478845596313477,0.19478845596313477,0.565,False
46549,Reduce interest rate to 12%,pricing_scenario,0.8815670013427734,0.7986214756965637,-0.08294552564620972,0.08294552564620972,0.565,False
46549,Reduce interest rate to 16%,pricing_scenario,0.8815670013427734,0.846473217010498,-0.03509378433227539,0.03509378433227539,0.565,False
46549,Increase verified annual income by 30%,affordability_scenario,0.8815670013427734,0.8740485906600952,-0.007518410682678223,0.007518410682678223,0.565,False
46549,Increase verified annual income by 20%,affordability_scenario,0.8815670013427734,0.8794494867324829,-0.0021175146102905273,0.0021175146102905273,0.565,False
46549,Increase verified annual income by 10%,affordability_scenario,0.8815670013427734,0.8801970481872559,-0.0013699531555175781,0.0013699531555175781,0.565,False
50125,Reduce interest rate to 8%,pricing_scenario,0.5650308728218079,0.33678141236305237,-0.2282494604587555,0.2282494604587555,0.565,True
50125,Increase verified annual income by 30%,affordability_scenario,0.5650308728218079,0.4921676516532898,-0.07286322116851807,0.07286322116851807,0.565,True
50125,Increase verified annual income by 20%,affordability_scenario,0.5650308728218079,0.5130717158317566,-0.05195915699005127,0.05195915699005127,0.565,True
50125,Increase verified annual income by 10%,affordability_scenario,0.5650308728218079,0.548314094543457,-0.01671677827835083,0.01671677827835083,0.565,True
54297,Reduce interest rate to 8%,pricing_scenario,0.882278323173523,0.5885463953018188,-0.2937319278717041,0.2937319278717041,0.565,False
54297,Reduce interest rate to 12%,pricing_scenario,0.882278323173523,0.785652220249176,-0.09662610292434692,0.09662610292434692,0.565,False
54297,Reduce interest rate to 16%,pricing_scenario,0.882278323173523,0.83619624376297,-0.04608207941055298,0.04608207941055298,0.565,False
54297,Increase verified annual income by 30%,affordability_scenario,0.882278323173523,0.8753751516342163,-0.006903171539306641,0.006903171539306641,0.565,False
54297,Increase verified annual income by 10%,affordability_scenario,0.882278323173523,0.882278323173523,0.0,0.0,0.565,False
54297,Increase verified annual income by 20%,affordability_scenario,0.882278323173523,0.882278323173523,0.0,0.0,0.565,False
54297,No prior delinquency history,diagnostic_non_actionable,0.882278323173523,0.8834604620933533,0.0011821389198303223,-0.0011821389198303223,0.565,False
55092,Reduce interest rate to 8%,pricing_scenario,0.8830603361129761,0.5641970634460449,-0.31886327266693115,0.31886327266693115,0.565,True
55092,Reduce interest rate to 12%,pricing_scenario,0.8830603361129761,0.7047388553619385,-0.1783214807510376,0.1783214807510376,0.565,False
55092,Reduce interest rate to 16%,pricing_scenario,0.8830603361129761,0.7944840788841248,-0.08857625722885132,0.08857625722885132,0.565,False
55092,Increase verified annual income by 30%,affordability_scenario,0.8830603361129761,0.8646166920661926,-0.018443644046783447,0.018443644046783447,0.565,False
55092,Increase verified annual income by 20%,affordability_scenario,0.8830603361129761,0.8654014468193054,-0.017658889293670654,0.017658889293670654,0.565,False
55092,Increase verified annual income by 10%,affordability_scenario,0.8830603361129761,0.8811426758766174,-0.0019176602363586426,0.0019176602363586426,0.565,False
71666,Reduce interest rate to 8%,pricing_scenario,0.5651678442955017,0.10130836069583893,-0.4638594835996628,0.4638594835996628,0.565,True
71666,Reduce interest rate to 12%,pricing_scenario,0.5651678442955017,0.3594609498977661,-0.2057068943977356,0.2057068943977356,0.565,True
71666,Reduce interest rate to 16%,pricing_scenario,0.5651678442955017,0.5469874739646912,-0.018180370330810547,0.018180370330810547,0.565,True
71666,Increase verified annual income by 20%,affordability_scenario,0.5651678442955017,0.5600279569625854,-0.00513988733291626,0.00513988733291626,0.565,True
71666,Increase verified annual income by 30%,affordability_scenario,0.5651678442955017,0.5618736743927002,-0.0032941699028015137,0.0032941699028015137,0.565,True
71666,Reduce exposure 20% and increase verified income 20%,combined_affordability_scenario,0.5651678442955017,0.5624557733535767,-0.002712070941925049,0.002712070941925049,0.565,True
71666,Reduce requested/exposure amount by 30%,affordability_scenario,0.5651678442955017,0.5739440321922302,0.008776187896728516,-0.008776187896728516,0.565,False
71666,Reduce requested/exposure amount by 20%,affordability_scenario,0.5651678442955017,0.5758546590805054,0.010686814785003662,-0.010686814785003662,0.565,False
71666,Reduce requested/exposure amount by 10%,affordability_scenario,0.5651678442955017,0.5806366801261902,0.015468835830688477,-0.015468835830688477,0.565,False
71666,Increase verified annual income by 10%,affordability_scenario,0.5651678442955017,0.582554280757904,0.017386436462402344,-0.017386436462402344,0.565,False
99555,Reduce interest rate to 8%,pricing_scenario,0.5652190446853638,0.10392408818006516,-0.4612949565052986,0.4612949565052986,0.565,True
99555,Reduce interest rate to 12%,pricing_scenario,0.5652190446853638,0.34306272864341736,-0.2221563160419464,0.2221563160419464,0.565,True
99555,Increase verified annual income by 20%,affordability_scenario,0.5652190446853638,0.4935806095600128,-0.07163843512535095,0.07163843512535095,0.565,True
99555,Reduce exposure 20% and increase verified income 20%,combined_affordability_scenario,0.5652190446853638,0.5017077326774597,-0.06351131200790405,0.06351131200790405,0.565,True
99555,Reduce requested/exposure amount by 20%,affordability_scenario,0.5652190446853638,0.5347963571548462,-0.030422687530517578,0.030422687530517578,0.565,True
99555,Reduce requested/exposure amount by 30%,affordability_scenario,0.5652190446853638,0.5361805558204651,-0.02903848886489868,0.02903848886489868,0.565,True
99555,Reduce requested/exposure amount by 10%,affordability_scenario,0.5652190446853638,0.537915050983429,-0.027303993701934814,0.027303993701934814,0.565,True
99555,Increase verified annual income by 10%,affordability_scenario,0.5652190446853638,0.537915050983429,-0.027303993701934814,0.027303993701934814,0.565,True
99555,Increase verified annual income by 30%,affordability_scenario,0.5652190446853638,0.5397120118141174,-0.025507032871246338,0.025507032871246338,0.565,True
99555,Reduce interest rate to 16%,pricing_scenario,0.5652190446853638,0.5451486110687256,-0.020070433616638184,0.020070433616638184,0.565,True
104121,Reduce interest rate to 8%,pricing_scenario,0.5650609135627747,0.19858936965465546,-0.3664715439081192,0.3664715439081192,0.565,True
104121,Reduce interest rate to 12%,pricing_scenario,0.5650609135627747,0.5156351327896118,-0.04942578077316284,0.04942578077316284,0.565,True
104121,Increase verified annual income by 10%,affordability_scenario,0.5650609135627747,0.5677890181541443,0.002728104591369629,-0.002728104591369629,0.565,False
104121,Increase verified annual income by 20%,affordability_scenario,0.5650609135627747,0.5705767273902893,0.0055158138275146484,-0.0055158138275146484,0.565,False
104121,Reduce requested/exposure amount by 10%,affordability_scenario,0.5650609135627747,0.5728079080581665,0.007746994495391846,-0.007746994495391846,0.565,False
104121,Reduce requested/exposure amount by 30%,affordability_scenario,0.5650609135627747,0.5958707928657532,0.030809879302978516,-0.030809879302978516,0.565,False
104121,Increase verified annual income by 30%,affordability_scenario,0.5650609135627747,0.5980541110038757,0.032993197441101074,-0.032993197441101074,0.565,False
104121,Reduce exposure 20% and increase verified income 20%,combined_affordability_scenario,0.5650609135627747,0.598438560962677,0.033377647399902344,-0.033377647399902344,0.565,False
104121,Reduce requested/exposure amount by 20%,affordability_scenario,0.5650609135627747,0.6029673218727112,0.03790640830993652,-0.03790640830993652,0.565,False
130030,Reduce interest rate to 8%,pricing_scenario,0.5652140378952026,0.15799961984157562,-0.407214418053627,0.407214418053627,0.565,True
130030,Reduce interest rate to 12%,pricing_scenario,0.5652140378952026,0.4622100293636322,-0.10300400853157043,0.10300400853157043,0.565,True
130030,Increase verified annual income by 30%,affordability_scenario,0.5652140378952026,0.5383627414703369,-0.026851296424865723,0.026851296424865723,0.565,True
130030,Reduce requested/exposure amount by 30%,affordability_scenario,0.5652140378952026,0.5500210523605347,-0.015192985534667969,0.015192985534667969,0.565,True
130030,Reduce requested/exposure amount by 20%,affordability_scenario,0.5652140378952026,0.5505698919296265,-0.014644145965576172,0.014644145965576172,0.565,True
130030,Reduce exposure 20% and increase verified income 20%,combined_affordability_scenario,0.5652140378952026,0.5515517592430115,-0.013662278652191162,0.013662278652191162,0.565,True
130030,Increase verified annual income by 20%,affordability_scenario,0.5652140378952026,0.5521001815795898,-0.013113856315612793,0.013113856315612793,0.565,True
130030,Reduce requested/exposure amount by 10%,affordability_scenario,0.5652140378952026,0.5613564848899841,-0.003857553005218506,0.003857553005218506,0.565,True
130030,Increase verified annual income by 10%,affordability_scenario,0.5652140378952026,0.5613564848899841,-0.003857553005218506,0.003857553005218506,0.565,True
134037,Reduce interest rate to 8%,pricing_scenario,0.5652125477790833,0.08323181420564651,-0.48198073357343674,0.48198073357343674,0.565,True
134037,Reduce interest rate to 12%,pricing_scenario,0.5652125477790833,0.3057214915752411,-0.25949105620384216,0.25949105620384216,0.565,True
134037,Reduce interest rate to 16%,pricing_scenario,0.5652125477790833,0.5050652623176575,-0.06014728546142578,0.06014728546142578,0.565,True
134037,Increase verified annual income by 30%,affordability_scenario,0.5652125477790833,0.5363839268684387,-0.02882862091064453,0.02882862091064453,0.565,True
134037,Increase verified annual income by 20%,affordability_scenario,0.5652125477790833,0.5427851676940918,-0.022427380084991455,0.022427380084991455,0.565,True
134037,Reduce exposure 20% and increase verified income 20%,combined_affordability_scenario,0.5652125477790833,0.5468250513076782,-0.01838749647140503,0.01838749647140503,0.565,True
134037,Increase verified annual income by 10%,affordability_scenario,0.5652125477790833,0.5532938838005066,-0.01191866397857666,0.01191866397857666,0.565,True
134037,Reduce requested/exposure amount by 30%,affordability_scenario,0.5652125477790833,0.5621549487113953,-0.0030575990676879883,0.0030575990676879883,0.565,True
134037,Reduce requested/exposure amount by 10%,affordability_scenario,0.5652125477790833,0.5649365782737732,-0.0002759695053100586,0.0002759695053100586,0.565,True
134037,Reduce requested/exposure amount by 20%,affordability_scenario,0.5652125477790833,0.5649365782737732,-0.0002759695053100586,0.0002759695053100586,0.565,True
