column,category_value,row_count,share_pct,default_count,default_rate_pct,is_missing_category,rare_category_flag
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIXstD7GzCRZcMVXrpdafjCk=,24,0.02,3,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIZTPtauEI0SkDbn8tDAkC4Y=,24,0.02,4,16.67,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIdTatUCE3zh3wqyi+7XWETU=,24,0.02,3,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhs9idTwBLSC0VL/gNJ91bJPeZZTmGuDwJztwAZz4G448=,24,0.02,1,4.17,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIZrFi5spQNgAzGfBU+6ssNI=,22,0.02,3,13.64,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIROL+pmJMe+gUO8Wh8mE+rw=,21,0.02,3,14.29,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIcPAWFZAJAJngY/Abini5Z8=,21,0.02,2,9.52,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhEUQ+DbYmmzO9kJFZAefKF0LoyJF1n4YxcxzJOmCe0Cs=,20,0.01,2,10.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIS0BI0DbEdyLBRxO0ex4qtU=,20,0.01,2,10.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSITp06YElUTQE4IMfpNNR7OM=,20,0.01,2,10.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIX2YEq+ffzHJBtQF8y0oYNY=,20,0.01,3,15.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIZugU10mHpxvDM8Mkq/9JaY=,20,0.01,2,10.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIYzTUc5o/FtPLQrnLVUQNbk=,19,0.01,3,15.79,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIewa6FnNteH2ruWolIxQJpk=,19,0.01,3,15.79,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIQ3IIGZXtAvOCO9b9jLMmAw=,18,0.01,3,16.67,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSITJACc1+FT6kpJoaPxePtrE=,18,0.01,3,16.67,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIRDDVPNrrTVAeUnhMP9IaIQ=,17,0.01,3,17.65,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIUf3O5NGNOt42PUJof+J3v4=,17,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhFNk+Kf8ltHC8Q8NJBXhNUHvTrK5weVkBNUHP7pRcuxw=,16,0.01,2,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIYHE88sXpRMpUDOwbrqsdHc=,16,0.01,4,25.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhZwmUdVeHoPT/r9E7KsKM4RV9CGIDyABZ8Y1Y+1Yl/Qg=,15,0.01,4,26.67,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIQpx+SDrrpaneOgNw5p6+Ak=,15,0.01,2,13.33,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIZ3/zT9gLYFa63ShWIHauGM=,15,0.01,2,13.33,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIcITsviWTplEIKzgOxHjl/U=,14,0.01,1,7.14,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIfRcjlHv6BMdg04XIRkLOW4=,14,0.01,2,14.29,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIRu25nFyALXp5lWBwQoqE3s=,13,0.01,1,7.69,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIZ9vEmQPUkz9a97KY2s8+Xc=,13,0.01,2,15.38,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIZhIeNvI0DZDNp+U2gng414=,13,0.01,2,15.38,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIeDfP4WsfvmCxpZ/JtGibPo=,13,0.01,1,7.69,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIfOjATCuFskv4CoK9miwTWE=,13,0.01,1,7.69,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIh/9mGYu3CngY5mw+tffFKnM9HXdBSyEmVWGHmvmZ9DgE=,12,0.01,2,16.67,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIh1QzrdwtKBmNDrhzWHq6fk5rOlW2TjRXHRKF/xz9qt6E=,12,0.01,6,50.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSITHb4VA8GfMxiGFJzvgAuYw=,12,0.01,1,8.33,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIYfGrx5OSlS7jXn4qcZLbDM=,12,0.01,1,8.33,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhFNk+Kf8ltHC8Q8NJBXhNUIzon4huxsjQ7Sf3eJQJU+A=,11,0.01,1,9.09,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhN1YRQctzqbiFDOG3lpZyh0XkXh8G75JPjjYv7zoINmE=,11,0.01,1,9.09,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhOx0IPs/TG2RIru95HoFMXEHVcMOCI7Qm5sh8bJOcPRQ=,11,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhPEfU1u8Wx16xDLASO36IL0akfmWlwCxbJIxXg1QwkZU=,11,0.01,1,9.09,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhZdkH+txPnDbBuhuKtyVhTSWiryWULAMJ3jhfQaQaZVk=,11,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIQu++P/vSdr9kXN3qjcCHt4=,11,0.01,1,9.09,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIT2fWsBexYskIqjbyX4Jpt0=,11,0.01,1,9.09,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIT4pk3KXkhwJu3mE7CNl3DM=,11,0.01,1,9.09,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIUM9YDrZqoGt0qxG1vSTl6E=,11,0.01,3,27.27,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIW3eu/Uv67OJaEe3UdqrHuY=,11,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIWph7Ov5I6ke+EmuXnJsPTU=,11,0.01,1,9.09,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIWqU5a+827Fue394Govcz7Q=,11,0.01,3,27.27,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIamnPxgv4uLRjMgJqNcB/BQ=,11,0.01,2,18.18,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhyb4DQlfdwfGZOr93pglvVUepksHavgVhCsIk2yCh+Ik=,11,0.01,1,9.09,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIQArhHsonr62JYtrLh/0xPo=,10,0.01,1,10.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIQKjOY8cABzPIuTSzIcT2Zw=,10,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIUGVXAbaSd8OGQLFZm59hys=,10,0.01,1,10.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIWLMJoTR+iGjj0G4kFDKBh0=,10,0.01,2,20.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIWylXlgTigG6dmzofvq7CVM=,10,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIYBT/0tqthCnqH66EihjryM=,10,0.01,2,20.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIYOCqHStPLR0HxrUlA6E8Qs=,10,0.01,2,20.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIYrcghnEddQaUO3alZE68xI=,10,0.01,3,30.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIbW9EuOyk5B5KXjcEjIQaJE=,10,0.01,3,30.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIh/cdCiaVzVo/KVM2JldD+WiCpSDcTmA605zSPwbuinf0=,9,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhEfL3Hj/92mI36IaQYzJE3NGUh9eHLSo4qvu3tJfPUBk=,9,0.01,1,11.11,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhbEI/BoHNbwilQe35nmZY4V1WFC9uaPGcR48w7tr+Dck=,9,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhiosR+B8X2RZgv+6wiQnBEEabqGuiA+3o1alHDa+en4U=,9,0.01,1,11.11,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIRnxUAOL5cWZujRIys//C58=,9,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIS/BGsP9LJ57Wn99UOJ/OdA=,9,0.01,1,11.11,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSISLwrKNZ+/QMaCf2xMsvmHU=,9,0.01,4,44.44,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIV0/e23yylmGoIhA7hQiAvM=,9,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIVvS2vGJvepz5YieDnUeIk4=,9,0.01,3,33.33,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIYepOzzHBTBqaO3w/Cubh4M=,9,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIa9LU3YOPOnNDRmcA/tAR8s=,9,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhtvv9nv5EKxqoDtcIo6hFbgYKJwsu6j/oHT7ocRHzMsY=,9,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhxvBtKTCWKZpUFURevkfWj0XflHVpk20dhXbgZLPummU=,9,0.01,1,11.11,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhzCJzZY6Br03uKPq9s7ub0m7RG1xfwn+Iehao8jRoHDA=,9,0.01,1,11.11,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIh6SZ35jCcHZuH4HBKPctT+APTgFW60l2e7lpioRXHuc0=,8,0.01,1,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIh8mkfrUR/NHaPxC8mqhez8tXBERgx0m6/fM+m9hVEAuo=,8,0.01,1,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhipfzpRSOtJbicx/ziFM498xNUQ7Gcpa/xw9iD6Uq1z0=,8,0.01,1,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIQGXQQby50J+nxs+srBGbJ0=,8,0.01,2,25.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIRnH3K+SWH1Mx25p7cldZvw=,8,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIU0TjSutzhBjlUkAQTswEzQ=,8,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIUNZSi6jjFDPjTq+73aNGag=,8,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIUgK3YxsH5sj9+obPncKQgg=,8,0.01,1,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIV5LmHY77pe2xZiyhlF5HIs=,8,0.01,2,25.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIXhLEh24HxLLTj1oWxoqsE4=,8,0.01,1,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIY/1T+flI3e6Tlg40uHirYM=,8,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIZQGC6Uk/O+3OmGL2HTaDlk=,8,0.01,2,25.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIZfYJG1VQvj47EbPx0zPyYg=,8,0.01,1,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIbB9mnnheJ2DUm5Zztsng1I=,8,0.01,2,25.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIcKIKR1OV1AeQFlKnh7LG1A=,8,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIcQo8M8VCVdmJ/MHoaV9whA=,8,0.01,1,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIcsSh3D9CUrmEUSISLi/KwA=,8,0.01,1,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIdz5JhRMIycVYv0rq09ecpk=,8,0.01,1,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIe0R2vsZTtZSaJde8mDi6D4=,8,0.01,1,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIe2rK94LA81MRreECPTvxPA=,8,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIeay+HqTT8DG6y5DckUZlb4=,8,0.01,3,37.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIhmLVIVxoGY7TUDJ1FyFoSIfIrXAbT1PcpGjbSIS3iSco=,8,0.01,1,12.5,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiFUUzXVFn0aKdiGKp4TQNajboJf8MvGk9LA7L3gvMo+RGHbk98sph0tzgBZz7SdSfw=,7,0.01,0,0.0,False,True
industry,mLVIVxoGY7TUDJ1FyFoSIZi1SFcaBmO01AydRchaEiGYtUhXGgZjtNQMnUXIWhIh3V4s9gnq3lBiQBldLyzSSHhpxgTFqGdTvy4NmVnWP+o=,7,0.01,0,0.0,False,True
